k,attack_type,attack_id,truth_count,precision,recall,f1,jaccard
40,Procedure,S0267,120,0.125,0.041666666666666664,0.0625,0.03225806451612903
50,Procedure,S0267,120,0.1,0.041666666666666664,0.058823529411764705,0.030303030303030304
100,Procedure,S0267,120,0.14,0.11666666666666667,0.12727272727272726,0.06796116504854369
150,Procedure,S0267,120,0.13333333333333333,0.16666666666666666,0.14814814814814814,0.08
200,Procedure,S0267,120,0.15,0.25,0.18749999999999997,0.10344827586206896
10,Procedure,S0084,98,0.1,0.01020408163265306,0.018518518518518514,0.009345794392523364
20,Procedure,S0084,98,0.2,0.04081632653061224,0.06779661016949151,0.03508771929824561
30,Procedure,S0084,98,0.2,0.061224489795918366,0.09375,0.04918032786885246
40,Procedure,S0084,98,0.2,0.08163265306122448,0.11594202898550723,0.06153846153846154
50,Procedure,S0084,98,0.18,0.09183673469387756,0.12162162162162163,0.06474820143884892
100,Procedure,S0084,98,0.22,0.22448979591836735,0.22222222222222224,0.125
150,Procedure,S0084,98,0.2,0.30612244897959184,0.24193548387096772,0.13761467889908258
200,Procedure,S0084,98,0.2,0.40816326530612246,0.26845637583892623,0.15503875968992248
10,CAPEC,561,14,0.1,0.07142857142857142,0.08333333333333333,0.043478260869565216
20,CAPEC,561,14,0.05,0.07142857142857142,0.058823529411764705,0.030303030303030304
30,CAPEC,561,14,0.06666666666666667,0.14285714285714285,0.09090909090909091,0.047619047619047616
40,CAPEC,561,14,0.05,0.14285714285714285,0.07407407407407408,0.038461538461538464
50,CAPEC,561,14,0.04,0.14285714285714285,0.0625,0.03225806451612903
100,CAPEC,561,14,0.04,0.2857142857142857,0.07017543859649124,0.03636363636363636
150,CAPEC,561,14,0.04666666666666667,0.5,0.08536585365853659,0.044585987261146494
200,CAPEC,561,14,0.05,0.7142857142857143,0.09345794392523366,0.049019607843137254
10,Procedure,S0662,180,0.5,0.027777777777777776,0.05263157894736842,0.02702702702702703
20,Procedure,S0662,180,0.3,0.03333333333333333,0.060000000000000005,0.030927835051546393
30,Procedure,S0662,180,0.3,0.05,0.08571428571428572,0.04477611940298507
40,Procedure,S0662,180,0.275,0.06111111111111111,0.09999999999999999,0.05263157894736842
50,Procedure,S0662,180,0.26,0.07222222222222222,0.11304347826086956,0.059907834101382486
100,Procedure,S0662,180,0.36,0.2,0.2571428571428571,0.14754098360655737
150,Procedure,S0662,180,0.3333333333333333,0.2777777777777778,0.303030303030303,0.17857142857142858
200,Procedure,S0662,180,0.305,0.3388888888888889,0.3210526315789473,0.19122257053291536
10,CAPEC,574,19,0.1,0.05263157894736842,0.06896551724137931,0.03571428571428571
